time,momentary,short_term
23.4998,-23.0,-31.5
23.5998,-21.2,-29.8
23.6998,-20.6,-29.2
23.7998,-21.2,-28.8
23.8998,-22.6,-28.4
23.9998,-24.6,-28.2
24.0998,-25.6,-28.0
24.1998,-26.3,-27.9
24.2998,-27.0,-27.7
24.3998,-27.3,-27.6
24.4998,-27.8,-27.5
24.5998,-28.1,-27.4
24.6998,-28.0,-27.2
24.7998,-28.2,-27.1
24.8998,-28.5,-27.0
24.9998,-28.9,-27.0
25.0998,-29.2,-26.9
25.1998,-29.4,-26.8
25.2998,-28.9,-26.7
25.3998,-29.1,-26.6
25.4998,-29.6,-26.6
25.5998,-30.1,-26.5
25.6998,-30.8,-26.5
25.7998,-30.7,-26.4
25.8998,-30.8,-26.4
25.9998,-31.0,-26.3
26.0998,-31.1,-26.3
26.1998,-31.4,-26.3
26.2998,-31.5,-26.2
26.3998,-31.5,-26.7
26.4998,-31.7,-27.5
26.5998,-31.6,-28.4
26.6998,-31.5,-28.9
26.7998,-31.5,-29.2
26.8998,-31.5,-29.5
26.9998,-31.5,-29.7
27.0998,-31.8,-29.9
27.1998,-32.0,-30.1
27.2998,-32.1,-30.3
27.3998,-32.2,-30.4
27.4998,-32.1,-30.5
27.5998,-32.0,-30.7
27.6998,-32.0,-30.9
27.7998,-32.2,-31.1
27.8998,-32.5,-31.1
27.9998,-32.7,-31.2
28.0998,-32.8,-31.4
28.1998,-33.0,-31.6
28.2998,-32.9,-31.8
28.3998,-32.6,-31.8
28.4998,-32.4,-31.8
28.5998,-32.0,-31.9
28.6998,-31.5,-31.9
28.7998,-31.3,-31.9
28.8998,-31.2,-31.9
28.9998,-31.2,-31.9
29.0998,-31.2,-31.9
29.1998,-31.1,-31.8
29.2998,-30.8,-31.8
29.3998,-30.6,-31.7
29.4998,-30.5,-31.7
29.5998,-30.4,-31.6
29.6998,-30.4,-31.6
29.7998,-30.5,-31.6
29.8998,-30.9,-31.6
29.9998,-31.4,-31.6
30.0998,-31.7,-31.6
30.1998,-32.2,-31.6
30.2998,-32.3,-31.6
30.3998,-32.4,-31.6
30.4998,-32.5,-31.7
30.5998,-32.6,-31.7
30.6998,-32.5,-31.7
30.7998,-32.4,-31.7
30.8998,-32.3,-31.6
30.9998,-32.2,-31.6
31.0998,-32.1,-31.6
31.1998,-32.0,-31.6
31.2998,-32.0,-31.5
31.3998,-32.1,-31.6
31.4998,-32.1,-31.6
31.5998,-32.2,-31.6
31.6998,-32.4,-31.6
31.7998,-32.4,-31.7
31.8998,-32.5,-31.7
31.9998,-32.6,-31.8
32.0998,-32.7,-31.8
32.1998,-32.3,-31.9
32.2998,-32.1,-31.9
32.3998,-31.8,-32.0
32.4998,-31.4,-32.0
32.5998,-31.4,-32.0
32.6998,-31.3,-32.1
32.7998,-31.1,-32.1
32.8998,-30.9,-32.0
32.9998,-30.6,-31.9
33.0998,-30.3,-31.8
33.1998,-30.3,-31.8
33.2998,-30.8,-31.8
33.3998,-31.5,-31.8
33.4998,-32.2,-31.8
33.5998,-33.1,-31.8
33.6998,-33.9,-31.9
33.7998,-34.9,-32.0
33.8998,-36.5,-32.1
33.9998,-39.0,-32.3
34.0998,-40.6,-32.4
34.1998,-41.0,-32.5
34.2998,-41.5,-32.7
34.3998,-42.1,-32.8
34.4998,-42.6,-33.0
34.5998,-43.3,-33.2
34.6998,-43.8,-33.3
34.7998,-44.1,-33.5
34.8998,-44.4,-33.7
34.9998,-44.6,-33.8
35.0998,-44.8,-34.0
35.1998,-44.9,-34.3
35.2998,-44.9,-34.5
35.3998,-44.8,-34.8
35.4998,-44.8,-35.1
35.5998,-44.3,-35.5
35.6998,-43.1,-35.8
35.7998,-42.0,-36.3
35.8998,-41.0,-36.8
35.9998,-37.7,-37.2
36.0998,-35.5,-37.5
36.1998,-33.6,-37.7
36.2998,-31.9,-37.4
36.3998,-30.6,-36.8
36.4998,-29.4,-36.0
36.5998,-28.6,-35.4
36.6998,-28.9,-35.2
36.7998,-29.7,-35.1
36.8998,-31.0,-34.9
36.9998,-29.5,-33.8
37.0998,-30.0,-33.8
37.1998,-28.9,-33.3
37.2998,-27.1,-32.4
37.3998,-28.1,-32.1
37.4998,-26.0,-31.3
37.5998,-26.1,-31.0
37.6998,-27.4,-30.9
37.7998,-28.2,-30.9
37.8998,-32.7,-30.9
37.9998,-36.2,-30.9
38.0998,-37.0,-30.8
38.1998,-36.3,-30.8
38.2998,-35.6,-30.7
38.3998,-34.4,-30.6
38.4998,-34.3,-30.6
38.5998,-32.3,-30.4
38.6998,-32.0,-30.3
38.7998,-31.2,-30.2
38.8998,-31.7,-30.2
38.9998,-32.9,-30.2
39.0998,-33.7,-30.2
39.1998,-37.1,-30.3
39.2998,-37.3,-30.5
39.3998,-40.6,-30.7
39.4998,-41.0,-31.0
39.5998,-42.1,-31.3
39.6998,-42.5,-31.4
39.7998,-43.8,-31.4
39.8998,-44.7,-31.5
39.9998,-44.3,-32.2
40.0998,-44.3,-32.2
40.1998,-43.9,-32.6
40.2998,-43.8,-33.5
40.3998,-43.8,-33.9
40.4998,-43.9,-35.6
40.5998,-43.5,-36.4
40.6998,-42.6,-36.7
40.7998,-42.4,-36.8
40.8998,-41.8,-36.8
40.9998,-41.4,-36.8
41.0998,-41.3,-37.1
41.1998,-41.0,-37.2
41.2998,-41.1,-37.3
41.3998,-41.3,-37.7
41.4998,-40.6,-38.0
41.5998,-39.2,-39.0
41.6998,-37.9,-39.2
41.7998,-37.5,-40.4
41.8998,-36.8,-40.1
41.9998,-36.1,-40.4
42.0998,-35.5,-39.9
42.1998,-34.4,-39.4
42.2998,-34.0,-39.0
42.3998,-33.7,-38.6
42.4998,-33.6,-38.3
42.5998,-33.3,-37.7
42.6998,-33.4,-37.5
42.7998,-33.4,-37.1
42.8998,-33.3,-36.9
42.9998,-33.5,-36.5
43.0998,-33.3,-36.3
43.1998,-33.4,-36.0
43.2998,-33.1,-35.8
43.3998,-33.2,-35.5
43.4998,-33.1,-35.3
43.5998,-32.8,-35.0
43.6998,-32.5,-34.8
43.7998,-32.2,-34.5
43.8998,-31.6,-34.2
43.9998,-28.9,-33.2
44.0998,-25.4,-31.5
44.1998,-22.9,-29.9
44.2998,-22.0,-29.2
44.3998,-21.7,-28.6
44.4998,-22.3,-28.3
44.5998,-23.9,-28.1
44.6998,-25.0,-27.9
44.7998,-25.7,-27.7
44.8998,-26.5,-27.5
44.9998,-27.2,-27.5
45.0998,-27.2,-27.4
45.1998,-28.4,-27.3
45.2998,-29.4,-27.3
45.3998,-29.9,-27.3
45.4998,-31.1,-27.3
45.5998,-31.9,-27.3
45.6998,-32.3,-27.3
45.7998,-32.7,-27.3
45.8998,-33.3,-27.3
45.9998,-33.6,-27.3
46.0998,-34.4,-27.3
46.1998,-34.8,-27.3
46.2998,-35.2,-27.3
46.3998,-35.8,-27.4
46.4998,-35.9,-27.4
46.5998,-36.3,-27.4
46.6998,-36.3,-27.4
46.7998,-36.4,-27.5
46.8998,-36.9,-27.5
46.9998,-37.2,-27.8
47.0998,-37.9,-28.4
47.1998,-38.1,-29.5
47.2998,-38.4,-30.2
47.3998,-39.1,-31.0
47.4998,-39.4,-31.7
47.5998,-40.0,-32.3
47.6998,-40.1,-32.7
47.7998,-40.1,-33.6
47.8998,-40.1,-34.2
47.9998,-40.3,-34.6
48.0998,-40.6,-35.3
48.1998,-40.6,-35.8
48.2998,-40.6,-36.2
48.3998,-40.2,-36.6
48.4998,-40.2,-37.0
48.5998,-40.1,-37.3
48.6998,-39.8,-37.6
48.7998,-40.4,-37.9
48.8998,-40.1,-38.2
48.9998,-40.0,-38.4
49.0998,-40.4,-38.6
49.1998,-39.2,-38.8
49.2998,-39.4,-38.9
49.3998,-39.4,-39.1
49.4998,-38.8,-39.2
49.5998,-39.7,-39.4
49.6998,-39.4,-39.5
49.7998,-39.5,-39.6
49.8998,-40.0,-39.7
49.9998,-39.4,-39.8
50.0998,-39.5,-39.8
50.1998,-39.5,-39.9
50.2998,-38.5,-39.7
50.3998,-39.0,-39.7
50.4998,-38.6,-39.7
50.5998,-38.7,-39.7
50.6998,-39.8,-39.7
50.7998,-38.2,-39.5
50.8998,-38.5,-39.4
50.9998,-38.4,-39.4
51.0998,-36.7,-39.1
51.1998,-37.5,-39.0
51.2998,-36.7,-38.8
51.3998,-36.2,-38.7
51.4998,-37.1,-38.6
51.5998,-36.5,-38.5
51.6998,-36.9,-38.4
51.7998,-37.2,-38.3
51.8998,-36.7,-38.2
51.9998,-37.5,-38.2
52.0998,-37.2,-38.0
52.1998,-37.0,-38.0
52.2998,-37.9,-38.0
52.3998,-36.5,-37.8
52.4998,-36.5,-37.7
52.5998,-36.5,-37.6
52.6998,-35.3,-37.4
52.7998,-35.7,-37.2
52.8998,-35.3,-37.1
52.9998,-34.9,-37.0
53.0998,-35.2,-36.8
53.1998,-34.0,-36.4
53.2998,-33.6,-36.3
53.3998,-33.0,-36.0
53.4998,-31.8,-35.6
53.5998,-31.6,-35.2
53.6998,-30.9,-34.8
53.7998,-30.6,-34.6
53.8998,-30.4,-34.2
53.9998,-29.6,-33.7
54.0998,-28.8,-33.2
54.1998,-27.8,-32.6
54.2998,-26.3,-31.8
54.3998,-25.1,-30.9
54.4998,-24.5,-30.3
54.5998,-23.7,-29.6
54.6998,-23.6,-29.2
54.7998,-23.3,-28.5
54.8998,-23.1,-28.1
54.9998,-23.2,-27.7
55.0998,-22.5,-27.1
55.1998,-22.4,-26.7
55.2998,-22.1,-26.3
55.3998,-21.4,-25.8
55.4998,-21.2,-25.4
55.5998,-20.8,-24.9
55.6998,-20.0,-24.4
55.7998,-19.9,-24.0
55.8998,-19.5,-23.6
55.9998,-19.1,-23.2
56.0998,-19.0,-22.8
56.1998,-18.6,-22.4
56.2998,-18.3,-22.0
56.3998,-18.0,-21.6
56.4998,-17.3,-21.2
56.5998,-16.1,-20.5
56.6998,-15.1,-19.9
56.7998,-14.3,-19.3
56.8998,-13.8,-18.8
56.9998,-13.6,-18.3
57.0998,-13.5,-17.9
57.1998,-13.2,-17.5
57.2998,-13.0,-17.1
57.3998,-13.2,-16.9
57.4998,-13.3,-16.6
57.5998,-14.6,-16.6
57.6998,-16.6,-16.6
57.7998,-18.6,-16.6
57.8998,-25.5,-16.7
57.9998,-29.0,-16.7
58.0998,-30.4,-16.7
58.1998,-35.6,-16.8
58.2998,-35.1,-16.8
58.3998,-31.1,-16.9
58.4998,-31.5,-16.9
58.5998,-32.3,-17.0
58.6998,-32.6,-17.1
58.7998,-40.9,-17.2
58.8998,-39.8,-17.3
58.9998,-41.3,-17.4
59.0998,-42.3,-17.5
59.1998,-41.5,-17.6
59.2998,-45.0,-17.7
59.3998,-46.1,-17.9
59.4998,-46.0,-18.1
59.5998,-47.2,-18.5
59.6998,-46.7,-19.0
59.7998,-46.7,-19.5
59.8998,-46.7,-20.1
59.9998,-48.7,-20.8
60.0998,-49.2,-21.7
60.1998,-48.2,-23.1
60.2998,-46.4,-25.0
60.3998,-45.9,-27.0
60.4998,-45.7,-33.0
60.5998,-45.7,-35.2
60.6998,-46.1,-36.1
60.7998,-46.2,-38.6
60.8998,-46.2,-38.7
60.9998,-46.5,-38.7
61.0998,-47.7,-39.0
61.1998,-48.3,-39.9
61.2998,-49.1,-40.2
61.3998,-49.6,-44.7
61.4998,-49.6,-45.0
61.5998,-49.6,-45.7
61.6998,-49.7,-46.0
61.7998,-49.7,-46.1
61.8998,-50.0,-47.2
61.9998,-50.1,-47.4
62.0998,-45.0,-46.8
62.1998,-44.1,-46.9
62.2998,-43.9,-46.9
62.3998,-43.9,-46.9
62.4998,-47.2,-46.9
62.5998,-43.2,-46.2
62.6998,-38.7,-44.5
62.7998,-38.2,-44.2
62.8998,-38.2,-44.2
62.9998,-39.5,-44.3
63.0998,-46.1,-44.3
63.1998,-52.1,-44.4
63.2998,-52.5,-44.5
63.3998,-53.2,-44.6
63.4998,-53.2,-44.7
63.5998,-52.5,-44.7
63.6998,-51.2,-44.8
63.7998,-50.6,-44.9
63.8998,-50.5,-44.9
63.9998,-49.7,-44.9
64.0998,-49.5,-44.9
64.1998,-48.2,-44.9
64.2998,-47.3,-44.8
64.3998,-44.5,-44.5
64.4998,-41.4,-43.9
64.5998,-41.2,-43.8
64.6998,-41.4,-43.8
64.7998,-42.7,-43.8
64.8998,-48.3,-43.9
64.9998,-51.3,-43.9
65.0998,-51.8,-44.2
65.1998,-52.0,-44.3
65.2998,-51.4,-44.4
65.3998,-51.3,-44.4
65.4998,-51.1,-44.4
65.5998,-50.5,-45.0
65.6998,-50.5,-47.0
65.7998,-50.3,-47.6
65.8998,-47.7,-47.3
65.9998,-45.7,-47.0
66.0998,-43.8,-46.5
66.1998,-43.2,-46.4
66.2998,-43.8,-46.3
66.3998,-45.0,-46.3
66.4998,-47.6,-46.2
66.5998,-49.5,-46.2
66.6998,-50.0,-46.2
66.7998,-41.2,-44.9
66.8998,-34.2,-41.3
66.9998,-32.0,-39.7
67.0998,-31.4,-39.2
67.1998,-31.7,-39.2
67.2998,-34.4,-39.2
67.3998,-39.3,-39.3
67.4998,-47.6,-39.5
67.5998,-49.2,-39.5
67.6998,-48.3,-39.5
67.7998,-47.3,-39.5
67.8998,-47.2,-39.5
67.9998,-47.7,-39.5
68.0998,-48.5,-39.5
68.1998,-49.5,-39.5
68.2998,-49.4,-39.5
68.3998,-48.7,-39.4
68.4998,-48.0,-39.4
68.5998,-47.6,-39.4
68.6998,-47.5,-39.4
68.7998,-47.9,-39.4
68.8998,-48.6,-39.4
68.9998,-49.3,-39.5
69.0998,-49.7,-39.6
69.1998,-49.7,-39.6
69.2998,-49.7,-39.6
69.3998,-49.6,-39.6
69.4998,-49.6,-39.6
69.5998,-49.8,-39.6
69.6998,-50.0,-39.6
69.7998,-49.7,-40.0
69.8998,-49.7,-42.2
69.9998,-48.1,-45.6
70.0998,-44.1,-47.6
70.1998,-41.6,-46.9
70.2998,-41.4,-46.8
70.3998,-41.7,-46.8
70.4998,-43.5,-46.8
70.5998,-48.6,-46.8
70.6998,-49.7,-46.9
70.7998,-49.5,-47.0
70.8998,-49.3,-47.0
70.9998,-49.5,-47.0
71.0998,-49.5,-47.0
71.1998,-50.0,-47.0
71.2998,-50.2,-47.0
71.3998,-50.1,-47.1
71.4998,-48.3,-47.0
71.5998,-47.5,-47.0
71.6998,-47.5,-47.0
71.7998,-47.6,-47.0
71.8998,-49.0,-47.0
71.9998,-49.7,-47.0
72.0998,-49.9,-47.0
72.1998,-49.6,-47.0
72.2998,-50.0,-47.1
72.3998,-50.4,-47.1
72.4998,-50.3,-47.1
72.5998,-50.6,-47.1
72.6998,-50.0,-47.1
72.7998,-50.0,-47.1
72.8998,-49.5,-47.1
72.9998,-49.4,-47.2
73.0998,-49.0,-47.9
73.1998,-48.3,-49.1
73.2998,-47.4,-49.1
73.3998,-45.6,-48.6
73.4998,-44.8,-48.4
73.5998,-44.6,-48.2
73.6998,-40.4,-46.3
73.7998,-40.7,-46.3
73.8998,-41.0,-46.3
73.9998,-36.0,-43.3
74.0998,-37.1,-43.2
74.1998,-37.2,-43.2
74.2998,-37.2,-43.2
74.3998,-48.9,-43.2
74.4998,-49.8,-43.3
74.5998,-50.1,-43.3
74.6998,-43.3,-42.9
74.7998,-37.4,-41.6
74.8998,-36.9,-41.4
74.9998,-36.8,-41.4
75.0998,-37.4,-41.3
75.1998,-42.8,-41.2
75.2998,-43.9,-41.2
75.3998,-44.6,-41.2
75.4998,-45.8,-41.1
75.5998,-41.3,-40.7
75.6998,-40.7,-40.6
75.7998,-40.4,-40.6
75.8998,-40.4,-40.6
75.9998,-44.1,-40.6
76.0998,-46.2,-40.6
76.1998,-46.6,-40.5
76.2998,-46.9,-40.6
76.3998,-44.7,-40.5
76.4998,-44.5,-40.5
76.5998,-44.6,-40.5
76.6998,-44.3,-40.9
76.7998,-46.1,-40.9
76.8998,-46.4,-40.9
76.9998,-46.3,-42.4
77.0998,-46.9,-42.4
77.1998,-46.8,-42.4
77.2998,-46.9,-42.3
77.3998,-47.0,-42.3
77.4998,-47.2,-42.3
77.5998,-47.3,-42.3
77.6998,-47.5,-42.7
77.7998,-48.2,-44.4
77.8998,-48.3,-44.7
77.9998,-48.6,-44.8
78.0998,-48.3,-45.0
78.1998,-47.6,-45.0
78.2998,-47.5,-45.1
78.3998,-47.3,-45.1
78.4998,-47.0,-45.1
78.5998,-47.3,-46.2
78.6998,-47.5,-46.6
78.7998,-47.9,-46.8
78.8998,-48.6,-46.9
78.9998,-48.5,-46.8
79.0998,-48.3,-46.9
79.1998,-48.0,-47.0
79.2998,-47.9,-47.0
79.3998,-48.3,-47.4
79.4998,-48.3,-47.5
79.5998,-48.1,-47.6
79.6998,-48.1,-47.7
79.7998,-48.0,-47.7
79.8998,-48.0,-47.8
79.9998,-47.9,-47.8
80.0998,-48.0,-47.8
80.1998,-47.6,-47.8
80.2998,-47.9,-47.9
80.3998,-48.1,-48.0
80.4998,-47.9,-47.9
80.5998,-47.7,-47.9
80.6998,-47.1,-47.8
80.7998,-45.9,-47.6
80.8998,-44.9,-47.3
80.9998,-44.2,-47.1
81.0998,-43.6,-46.9
81.1998,-43.7,-46.8
81.2998,-44.1,-46.7
81.3998,-44.4,-46.6
81.4998,-44.3,-46.5
81.5998,-44.1,-46.3
81.6998,-42.9,-45.9
81.7998,-42.5,-45.7
81.8998,-42.4,-45.5
81.9998,-42.0,-45.2
82.0998,-42.5,-45.1
82.1998,-42.2,-44.8
82.2998,-41.0,-44.3
82.3998,-40.5,-44.0
82.4998,-40.2,-43.8
82.5998,-39.9,-43.5
82.6998,-39.7,-43.1
82.7998,-39.7,-42.8
82.8998,-39.9,-42.7
82.9998,-40.0,-42.5
83.0998,-40.7,-42.4
83.1998,-40.9,-42.2
83.2998,-38.1,-41.4
83.3998,-38.5,-41.4
83.4998,-38.9,-41.4
83.5998,-39.3,-41.3
83.6998,-44.0,-41.3
83.7998,-43.9,-41.3
83.8998,-43.3,-41.2
83.9998,-43.1,-41.2
84.0998,-43.0,-41.2
84.1998,-42.9,-41.2
84.2998,-42.9,-41.2
84.3998,-42.8,-41.1
84.4998,-43.0,-41.1
84.5998,-43.4,-41.1
84.6998,-41.8,-41.0
84.7998,-41.9,-41.0
84.8998,-42.1,-41.1
84.9998,-42.3,-41.2
85.0998,-45.1,-41.2
85.1998,-45.8,-41.3
85.2998,-46.4,-41.5
85.3998,-46.4,-41.7
85.4998,-45.9,-41.8
85.5998,-45.7,-41.9
85.6998,-39.7,-41.5
85.7998,-39.5,-41.6
85.8998,-39.5,-41.7
85.9998,-39.5,-41.8
86.0998,-44.6,-42.0
86.1998,-45.7,-42.1
86.2998,-46.3,-43.0
86.3998,-46.7,-43.1
86.4998,-47.0,-43.1
86.5998,-46.0,-43.1
86.6998,-44.7,-43.1
86.7998,-43.8,-43.1
86.8998,-42.1,-42.9
86.9998,-41.8,-42.9
87.0998,-42.1,-42.9
87.1998,-42.6,-43.0
87.2998,-44.7,-43.1
87.3998,-46.2,-43.2
87.4998,-47.4,-43.3
87.5998,-47.7,-43.4
87.6998,-47.5,-43.7
87.7998,-47.3,-43.8
87.8998,-47.0,-43.9
87.9998,-46.9,-43.9
88.0998,-47.3,-43.9
88.1998,-47.6,-44.0
88.2998,-47.8,-44.0
88.3998,-47.7,-44.0
88.4998,-47.0,-44.0
88.5998,-46.9,-44.1
88.6998,-47.1,-45.5
88.7998,-47.1,-45.6
88.8998,-47.3,-45.7
88.9998,-39.8,-44.2
89.0998,-31.3,-39.1
89.1998,-30.5,-38.5
89.2998,-30.3,-38.2
89.3998,-30.6,-38.2
89.4998,-36.3,-38.2
89.5998,-40.2,-38.2
89.6998,-44.6,-38.2
89.7998,-45.9,-38.3
89.8998,-47.1,-38.4
89.9998,-46.6,-38.4
90.0998,-45.1,-38.4
90.1998,-43.4,-38.3
90.2998,-42.1,-38.2
90.3998,-30.6,-35.9
90.4998,-30.3,-35.7
90.5998,-30.2,-35.6
90.6998,-30.0,-35.5
90.7998,-35.9,-35.4
90.8998,-34.1,-35.0
90.9998,-32.6,-34.6
91.0998,-31.9,-34.4
91.1998,-31.9,-34.3
91.2998,-32.9,-34.2
91.3998,-34.3,-34.1
91.4998,-35.2,-34.0
91.5998,-35.1,-33.8
91.6998,-34.1,-33.6
91.7998,-32.2,-33.3
91.8998,-32.1,-33.2
91.9998,-32.3,-33.2
92.0998,-32.7,-33.9
92.1998,-34.7,-34.0
92.2998,-34.7,-34.0
92.3998,-34.3,-33.9
92.4998,-33.6,-33.7
92.5998,-28.5,-32.4
92.6998,-28.1,-32.2
92.7998,-28.1,-32.1
92.8998,-28.3,-32.0
92.9998,-32.9,-32.0
93.0998,-33.8,-31.9
