second,rms_db,center_db,noncenter_db,barrage,drum,harsh,burden,center_adv,lufs,level_db,audible,dialogue_proxy,sub_coverage,dialogue_sub,rel_db,occupied,in_block,recovery_debt,omega,omega_resid
16,-54.556173998041935,-56.516338752270755,-56.6724702187598,-0.8728357621100369,-0.9961704658658646,0.0611936124184237,0.03870619315520659,0.1561314664890432,-45.31941667830915,-45.31941667830915,True,False,0.0,False,-10.765392385650195,False,False,0.0,1,1
17,-52.10234640942137,-54.47790720858356,-54.21328413182365,-0.893181899284305,-1.0372414972650077,-0.0131092827215432,0.050843873407462374,-0.2646230767599107,-43.20286206260525,-43.20286206260525,True,False,0.0,False,-8.64883776994629,False,False,0.0,1,1
18,-51.096458318390575,-53.804031505711684,-53.20716838766418,-0.9001935432806987,-1.0424691559251524,-0.0676172137924396,0.05935245486512125,-0.5968631180475015,-41.64752291629589,-41.64752291629589,True,False,0.0,False,-7.093498623636933,False,False,0.0,1,1
19,-51.89950205862956,-54.537550934920304,-53.97698915103304,-0.895128847578821,-1.035717133125291,-0.0480104946491087,0.05047365598446647,-0.5605617838872661,-42.3759150051107,-42.3759150051107,True,False,0.0,False,-7.82189071245174,False,False,0.0,1,1
20,-53.55623079517037,-54.92473294306002,-55.65045418137029,-0.8746641332723513,-1.0063804620034749,0.1116164135562568,0.04364518399355788,0.7257212383102711,-44.823763300918145,-44.823763300918145,True,False,0.0,False,-10.269739008259187,False,False,0.0,0,0
21,-52.911987309753236,-54.586189926300435,-54.98545788486072,-0.8304393996607836,-0.90545298676025,0.3205178590199307,0.05439029876493834,0.3992679585602872,-44.42762216882497,-44.42762216882497,True,False,0.0,False,-9.87359787616601,False,False,0.0,0,0
22,-52.37851798166161,-54.447912921509555,-54.468361498421345,-0.8388350807427232,-0.8495666456163375,0.0426054780929643,0.08085009646994973,0.020448576911789473,-43.49687124834408,-43.49687124834408,True,False,0.0,False,-8.94284695568512,False,False,0.0,0,0
23,-28.660512637454474,-37.41527198176425,-28.464422934234914,-0.640835923486424,-0.2427038250344758,-0.1683620599726643,0.18630932800935185,-8.950849047529335,-23.94886787371398,-23.94886787371398,True,False,0.0,False,10.60515641894498,True,False,0.6051564189449792,1,1
24,-35.216281987359245,-41.619483566941675,-36.23822300728759,-0.7147511798332639,-0.2838340453276086,-0.6317002769103716,0.20407947211072938,-5.381260559654088,-27.456102013438777,-27.456102013438777,True,False,0.0,False,7.097922279220182,False,False,0.6051564189449792,0,0
25,-37.49526144924163,-41.894496078532555,-40.195303117313514,-0.7505891604806604,-0.4850992514816862,-0.6337322802187414,0.17391441009850886,-1.6991929612190404,-29.892064153547615,-29.892064153547615,True,False,0.0,False,4.661960139111343,False,False,0.6051564189449792,0,0
26,-39.07828489143091,-42.23454835878915,-43.408168923891594,-0.745101816017934,-0.5922146152761429,-0.6275268289656327,0.1606800008204178,1.1736205651024463,-31.477474770733714,-31.477474770733714,True,False,0.0,False,3.0765495219252443,False,False,0.6051564189449792,0,0
27,-39.551109643403656,-42.48906207618841,-43.866075525490345,-0.6841954907412592,-0.5889693533837655,-0.5496910659093794,0.16590193389361452,1.3770134493019341,-32.152937339722556,-32.152937339722556,True,False,0.0,False,2.401086952936403,False,False,0.6051564189449792,0,0
28,-39.764314330404396,-37.703969716194166,-44.60778209453344,-0.6196059671504549,-0.6041904351180084,-0.0946991021625483,0.19306427476031213,6.903812378339275,-32.03342048226309,-32.03342048226309,True,True,0.0,False,2.520603810395869,False,False,0.6051564189449792,0,0
29,-39.23930247231218,-35.60583661959916,-45.725322458395574,-0.573673891693738,-0.5942263520549578,-0.0612146797463913,0.19920852262285021,10.119485838796415,-30.766864332815622,-30.766864332815622,True,True,0.0,False,3.7871599598433363,False,False,0.6051564189449792,0,0
30,-39.937740881450274,-41.84859887495884,-46.24543184907179,-0.590704774056282,-0.5933087017338001,-0.5222805370462165,0.17717549844251332,4.396832974112954,-32.30327863153195,-32.30327863153195,True,False,0.0,False,2.250745661127006,False,False,0.6051564189449792,0,0
31,-39.76740699127629,-41.78329487652141,-45.79133917066129,-0.6078484571992899,-0.5795995134859647,-0.4719679918103482,0.1788606777558629,4.008044294139879,-32.2351519254241,-32.2351519254241,True,False,0.0,False,2.31887236723486,False,False,0.6051564189449792,0,0
32,-39.63825566929951,-36.5985800854341,-46.55057950482303,-0.606800931884845,-0.6104617229467072,0.0686328771637955,0.19760213249909048,9.951999419388926,-31.516022693574634,-31.516022693574634,True,True,0.0,False,3.0380015990843248,False,False,0.6051564189449792,0,0
33,-43.07695148868458,-37.29544946696154,-48.56708977557033,-0.6795432573594176,-0.8463887361597259,0.3170167958691766,0.14765395242727863,11.271640308608788,-32.53420663213786,-32.53420663213786,True,True,0.0,False,2.019817660521099,False,False,0.6051564189449792,0,0
34,-51.34258269153403,-53.48929505307802,-53.4957280410201,-0.5795864521844815,-0.8728328497844988,-0.2996078933861525,0.08210445496947229,0.006432987942083912,-42.57837690939742,-42.57837690939742,True,False,0.0,False,-8.024352616738462,False,False,0.6051564189449792,0,0
35,-50.70887758210978,-47.11905329186203,-54.55129603029815,-0.1375586941201298,-0.2899148997316208,0.3340420137786796,0.1741179017827913,7.432242738436116,-42.49844741505987,-42.49844741505987,True,True,0.0,False,-7.944423122400913,False,False,0.6051564189449792,0,0
36,-39.96653742578265,-32.19226196380062,-47.45857685197224,0.5460544543082338,0.21871782227552,1.0671029089497792,0.3725440032307811,15.266314888171621,-30.438495673484613,-30.438495673484613,True,True,0.3620000000000019,False,4.115528619174345,False,False,0.6051564189449792,0,0
37,-39.87360643026731,-29.62925386568431,-50.831554918989866,0.9884480941551498,0.40362541515262806,18.83681357958463,0.48585125598860046,21.202301053305558,-28.278735563735307,-28.278735563735307,True,False,0.9669999999999987,True,6.275288728923652,False,False,0.6051564189449792,1,1
38,-43.690773841935666,-34.28281578759618,-50.58363802963144,0.9603585931511449,0.21495840172260106,24.792509749675908,0.4600925945325799,16.30082224203526,-33.36175850296701,-33.36175850296701,True,False,1.0,True,1.1922657896919517,False,False,0.6051564189449792,1,1
39,-48.93400802373481,-44.92034569581225,-50.710009184172506,0.5738705655785843,-0.4558909985541547,14.699874809999516,0.27113880514423333,5.7896634883602545,-39.190416482924526,-39.190416482924526,True,False,0.8070000000000022,True,-4.636392190265568,False,False,0.6051564189449792,2,2
40,-48.357362766033596,-60.937717291862356,-49.26765556385139,0.1337889831518122,-0.6043210876927029,-0.5400795608227292,0.1564489106398327,-11.670061728010964,-43.03047336602776,-43.03047336602776,True,False,0.0,False,-8.476449073368805,False,False,0.6051564189449792,1,1
41,-47.9251833385283,-42.32305796249872,-50.73762945861244,-0.11828165382912545,-0.7318769696225708,9.31991558647179,0.21582273203108832,8.414571496113716,-38.837071867723225,-38.837071867723225,True,True,0.892000000000003,True,-4.283047575064266,False,False,0.6051564189449792,2,2
42,-45.7770283429513,-43.360525731793736,-48.718172640939315,-0.3428317949589263,-0.5464453908985485,3.124739009934603,0.22890675569187002,5.357646909145579,-33.7649753560176,-33.7649753560176,True,False,0.8440000000000012,True,0.7890489366413576,False,False,0.6051564189449792,2,1
43,-40.52136179047231,-45.643245057440055,-43.76775600157127,-0.2989211090940855,-0.4732778313376077,0.2805103247289622,0.23915248499400657,-1.8754890558687833,-32.1804367920205,-32.1804367920205,True,False,0.0,False,2.3735875006384575,False,False,0.6051564189449792,1,1
44,-29.458554890851016,-42.72178688297323,-30.847734374072054,-0.33631735589014045,-0.0952700334507942,-0.2335010728178045,0.25320505948608424,-11.874052508901173,-23.86757916372371,-23.86757916372371,True,False,0.0,False,10.686445128935247,True,False,1.2916015478802265,1,1
45,-41.264642694414675,-49.44595184106002,-42.09256170101871,-0.7511255493190814,-0.5710758097321291,-0.3003622077880103,0.16652597499533342,-7.353390140041313,-30.469957932774115,-30.469957932774115,True,False,0.0,False,4.084066359884844,False,False,1.2916015478802265,0,0
46,-46.56912867410032,-50.2743042017224,-48.38712829128462,-0.9005552688198005,-0.9285338293194724,-0.3269342713517398,0.11061475194592899,-1.887175910437783,-35.83538718482724,-35.83538718482724,True,False,0.0,False,-1.281362892168282,False,False,0.0,0,0
47,-47.78421926431874,-49.48102353976918,-49.71803560888073,-0.9020976436062755,-0.9502809286251557,-0.2016957848579783,0.09938711310100345,0.23701206911155026,-39.25935274219847,-39.25935274219847,True,False,0.0,False,-4.705328449539515,False,False,0.0,0,0
48,-47.747850446917056,-50.47150504012741,-48.59116861524153,-0.866155983446071,-0.9214363640746283,-0.0120507669813854,0.10644023815478966,-1.8803364248858827,-40.25189526516583,-40.25189526516583,True,False,0.0,False,-5.69787097250687,False,False,0.0,1,1
49,-46.895056647930645,-50.23415050927983,-47.24917486217671,-0.8017916313281779,-0.8384401559663375,-0.0132834197466768,0.11373537963013981,-2.98497564710312,-39.500580747173466,-39.500580747173466,True,False,0.0,False,-4.946556454514507,False,False,0.0,1,1
50,-46.422512818663,-51.03230294716014,-46.14172557620127,-0.694369157407584,-0.771542179320255,-0.1056964359341943,0.1301966625815478,-4.890577370958873,-38.839399808401936,-38.839399808401936,True,False,0.0,False,-4.285375515742977,False,False,0.0,1,1
51,-44.57642194759722,-49.72267646461929,-44.091258125287595,-0.5082716145589918,-0.6284517875627056,0.078770557626175,0.17691712481790597,-5.631418339331695,-36.8813932816699,-36.8813932816699,True,False,0.0,False,-2.3273689890109424,False,False,0.0,1,1
52,-43.30363739587794,-47.66361075259521,-43.43014196960524,-0.307324105337117,-0.45705691990027747,1.102271037398186,0.24406182027747336,-4.2334687829899735,-36.18549416523011,-36.18549416523011,True,False,0.0,False,-1.6314698725711523,False,False,0.0,1,1
53,-38.83409230193155,-44.11836747195042,-39.48116850564736,-0.08461210373694862,-0.16283490887371746,2.730041717920185,0.32907261547390726,-4.63719896630306,-31.750536907978905,-31.750536907978905,True,False,0.0,False,2.8034873846800537,False,False,0.0,2,1
54,-30.817802752960795,-37.99665740372546,-31.01484201164152,0.07523305762025645,0.33492946113195143,1.422935289395122,0.396356181228517,-6.981815392083938,-24.565168373915064,-24.565168373915064,True,False,0.0,False,9.988855918743894,False,False,0.0,1,1
55,-28.708811105159732,-33.40232173565204,-29.78986903922396,0.1684509056199082,0.4895632287294775,1.5636252325403914,0.4410739567338095,-3.612452696428079,-20.73414036587804,-20.73414036587804,True,False,0.0,False,13.819883926780918,True,False,3.8198839267809177,3,2
56,-25.32740594109164,-28.874260461866818,-27.13859805926498,0.40975092824446335,0.5730686897384777,2.57048626729845,0.48243035853337607,-1.7356624026018395,-15.958574777836816,-15.958574777836816,True,False,0.0,False,18.595449514822143,True,False,12.41533344160306,3,2
57,-26.583308650928426,-28.284848091058596,-28.23532194939187,0.3311196595724713,0.34192638133930114,14.499559230803538,0.45304355045419736,-0.049526141666724754,-15.062366316890358,-15.062366316890358,True,False,0.0,False,19.4916579757686,True,False,21.90699141737166,2,2
58,-45.65938341366868,-35.06902059675842,-61.728503055333775,0.1786768252349419,-0.3369073873009778,25.69583760062737,0.29198432686133385,26.659482458575354,-33.58608431761513,-33.58608431761513,True,True,0.0,False,0.9679399750438265,False,False,21.90699141737166,1,1
59,-56.354616345630326,-48.57447568254197,-59.97144266983301,-0.23412002690515762,-0.6216927366054964,0.2317784025310076,0.13328391399103712,11.396966987291037,-45.11941989740514,-45.11941989740514,True,True,0.0,False,-10.565395604746179,False,False,0.0,0,0
60,-55.33327049507633,-55.92962040779455,-55.76206317172398,-0.1433308908062701,-0.7950626270969403,2.818004555814041,0.09693434990348476,-0.1675572360705715,-46.487593847822815,-46.487593847822815,True,False,0.0,False,-11.933569555163857,False,False,0.0,1,0
61,-58.4175086489096,-58.09786171994354,-59.34058524109426,-0.3841075619247716,-0.8514502051301099,2.614232365512261,0.07885789288844515,1.2427235211507224,-49.27480591338333,-49.27480591338333,True,False,0.0,False,-14.720781620724374,False,False,0.0,1,0
62,-54.52801091188001,-45.19873132217085,-60.79002258492291,-0.12432779519739781,-0.8574794808241062,26.81266472583048,0.12254318707752127,15.591291262752058,-41.142254094044056,-41.142254094044056,True,True,0.0,False,-6.588229801385097,False,False,0.0,1,1
63,-61.033108522100676,-56.35139437720327,-62.26698410128541,-0.24051894005086233,-0.8042605691395985,5.703300366104502,0.10006141620843495,5.915589724082139,-50.582124676631885,-50.582124676631885,True,False,0.0,False,-16.028100383972927,False,False,0.0,1,1
64,-56.55880169391918,-48.223870904530315,-60.50342700648579,0.043034520487208607,-0.7685784788165674,17.18882684650489,0.13012448383820627,12.279556101955478,-44.235315793435525,-44.235315793435525,True,True,0.0,False,-9.681291500776567,False,False,0.0,1,1
65,-57.76784199270946,-52.56956139913132,-59.277606788945086,-0.17704754143796872,-0.39465106007182754,13.176427351572046,0.1380024739008078,6.708045389813769,-49.73091894666741,-49.73091894666741,True,True,0.0,False,-15.17689465400845,False,False,0.0,1,1
66,-48.07770710802422,-37.76564830960155,-59.56462946332452,-0.029922306130793573,-0.3956064190373137,23.361229057396173,0.21109183763140127,21.79898115372297,-38.89928266158959,-38.89928266158959,True,True,0.0,False,-4.3452583689306294,False,False,0.0,1,1
67,-53.41667007312676,-44.04259882693236,-59.79148700435221,-0.2291633565690353,-0.4193343779532844,19.78303867551125,0.1759493371409352,15.74888817741985,-37.0334876061615,-37.0334876061615,True,True,0.0,False,-2.479463313502542,False,False,0.0,1,1
68,-56.94169698754112,-58.12060607363755,-57.46409529276618,-0.22012312605756168,-0.422129131783651,3.189423508043641,0.12078531901401683,-0.6565107808713719,-48.44368322273469,-48.44368322273469,True,False,0.0,False,-13.889658930075733,False,False,0.0,1,0
69,-58.198255811721964,-55.60814439544815,-59.14040905134912,-0.4380614946959801,-0.7504513525612163,7.940611600740199,0.09657945409822517,3.532264655900967,-49.5286155423478,-49.5286155423478,True,False,0.0,False,-14.974591249688842,False,False,0.0,1,1
70,-55.627725832183465,-47.72074328897631,-59.25187222521065,-0.47593168030364585,-0.7304986246292409,11.871036870471146,0.0990041294801673,11.531128936234339,-44.540546000470435,-44.540546000470435,True,True,0.0,False,-9.986521707811477,False,False,0.0,1,1
71,-58.30246129048808,-54.89501693333636,-59.554223828403686,-0.1353867496935939,-0.6298972244114274,4.462523197444492,0.10284068515362497,4.659206895067328,-48.80804803481376,-48.80804803481376,True,False,0.0,False,-14.2540237421548,False,False,0.0,1,0
72,-59.2180518567616,-61.188540477313225,-59.83720855812257,0.24922260262727053,-0.06878812888486328,1.954121295671575,0.17250767292236943,-1.351331919190656,-49.9541331488924,-49.9541331488924,True,False,0.0,False,-15.400108856233444,False,False,0.0,1,0
73,-49.916848899024366,-39.79236197372628,-58.85269905125929,0.51157019428993,0.17829872482637002,11.492387184275383,0.2891998917457533,19.060337077533013,-41.88530373462109,-41.88530373462109,True,True,0.0,False,-7.331279441962131,False,False,0.0,1,1
74,-51.0905280752684,-41.43504551031431,-57.98731742867014,0.5287256248336598,0.1907525507973923,26.18829959174069,0.3186957919214189,16.552271918355828,-39.0272541457625,-39.0272541457625,True,True,0.0,False,-4.47322985310354,False,False,0.0,1,1
75,-54.70462587600685,-47.915306785030054,-56.998526785232315,0.6711706979493244,0.11530445285064497,25.985081903326805,0.29794581318939695,9.08322000020226,-41.4465245486874,-41.4465245486874,True,True,0.0,False,-6.892500256028441,False,False,0.0,1,1
76,-56.06230455292429,-51.87943511671514,-57.16368103490011,0.19994882544277714,-0.554982652112225,16.984750445283947,0.18938647209097845,5.284245918184965,-45.553707977469685,-45.553707977469685,True,False,0.0,False,-10.999683684810726,False,False,0.0,1,1
77,-56.546427177954,-56.34237003009943,-57.01364421716512,-0.35527586233315284,-0.8276874699245662,1.0773438512775242,0.08539367852891583,0.6712741870656913,-47.42635490359544,-47.42635490359544,True,False,0.0,False,-12.87233061093648,False,False,0.0,0,0
78,-56.745308202862,-53.24246668263167,-57.85088878201593,-0.5126573656366352,-0.8840510835237838,2.313916321654282,0.05770810185362601,4.608422099384256,-47.71917096890918,-47.71917096890918,True,False,0.0,False,-13.165146676250224,False,False,0.0,2,1
79,-57.14744969949976,-56.064367119443695,-57.77399818735083,-0.6370262018424282,-0.8628665508048459,0.3555686353933657,0.04661449952692258,1.7096310679071323,-48.08737439392899,-48.08737439392899,True,False,0.0,False,-13.533350101270031,False,False,0.0,1,1
80,-56.09523877671808,-52.41804806074973,-57.38981193980166,-0.4690111172987522,-0.9031949125083122,9.015543269514314,0.09149438060683159,4.971763879051927,-46.70166104460698,-46.70166104460698,True,False,0.0,False,-12.14763675194802,False,False,0.0,2,2
81,-51.49352292997862,-56.07719008605294,-51.33867869325798,-0.40046941231318023,-0.628757091294407,4.785651408099549,0.129357161405867,-4.738511392794955,-43.31856562249152,-43.31856562249152,True,False,0.0,False,-8.76454132983256,False,False,0.0,2,1
82,-48.40001916604159,-59.786370550536645,-48.040655807269204,-0.3993869714170023,-0.426806359920486,-0.0725471790891831,0.16020385815539043,-11.745714743267442,-40.45994136209152,-40.45994136209152,True,False,0.0,False,-5.905917069432562,False,False,0.0,1,1
83,-49.87322005290308,-46.594235274937084,-50.323165337391735,-0.25381126529749093,-0.4669283930035957,2.9748487523672686,0.16660143723518892,3.7289300624546513,-40.52984537719411,-40.52984537719411,True,False,0.0,False,-5.9758210845351485,False,False,0.0,1,0
84,-51.97869408051823,-51.50934897392887,-52.11620395488882,-0.12601714285225873,-0.4432998231534731,15.111857714704955,0.16546154350608702,0.6068549809599446,-42.57920962008597,-42.57920962008597,True,False,0.0,False,-8.02518532742701,False,False,0.0,1,1
85,-52.96811062997092,-47.446480346460866,-54.80371012674561,-0.10095346953280686,-0.7147266182807762,15.0828537978165,0.16971800010294988,7.35722978028474,-42.22283435296039,-42.22283435296039,True,True,0.0,False,-7.668810060301432,False,False,0.0,1,1
86,-54.23089193540684,-50.0999366333067,-55.89750209751432,-0.09962859372605423,-0.8320617870448028,12.878554379153329,0.17267842210540266,5.797565464207622,-44.500376529653835,-44.500376529653835,True,False,0.0,False,-9.946352236994876,False,False,0.0,1,1
87,-56.13051966784718,-53.41451103971128,-57.49226038326675,-0.053405012829869515,-0.30298467415669583,8.41024276658973,0.18489038225074267,4.077749343555475,-45.429671755919884,-45.429671755919884,True,False,0.0,False,-10.875647463260925,False,False,0.0,1,1
88,-49.991115069257,-40.12033008598861,-59.16269940067654,0.13612228837274726,0.10678226271724378,12.201826869502652,0.2792558793998287,19.042369314687924,-45.64987757548924,-45.64987757548924,True,True,0.0,False,-11.095853282830284,False,False,0.0,2,2
89,-46.53825360834941,-36.27142193896337,-58.2126336939968,0.19655947933016654,0.565477802886628,27.718079070062007,0.37758649763328017,21.94121175503343,-34.1246246022379,-34.1246246022379,True,True,0.0,False,0.4293996904210573,False,False,0.0,2,2
90,-42.9679891630019,-33.5808769362602,-50.51941500669078,0.31439937180580907,0.7836919120907228,26.137381044874548,0.4666582361328524,16.938538070430575,-32.930171701066094,-32.930171701066094,True,True,0.0,False,1.6238525915928648,False,False,0.0,2,2
91,-43.13914513917127,-36.253336836249396,-47.182464455347215,0.1254402544201531,0.42628638248443634,14.56680780187288,0.47287340292125557,10.92912761909782,-33.02441731838969,-33.02441731838969,True,True,0.0,False,1.5296069742692708,False,False,0.0,2,2
92,-40.46229456825364,-31.800808740450236,-46.43086329112322,-0.02352456157481276,0.24933000553303364,9.749969223391387,0.43549593692257527,14.63005455067298,-30.693101094287805,-30.693101094287805,True,True,0.0,False,3.860923198371154,False,False,0.0,2,2
93,-39.28070939610557,-32.41479695519618,-43.382169009780156,-0.20101115701297992,-0.0017812218691769753,6.7312292331939,0.41661399549388795,10.967372054583976,-30.287004755533296,-30.287004755533296,True,True,0.0,False,4.2670195371256625,False,False,0.0,2,1
94,-37.80570757322443,-36.01276232883767,-40.11025147411665,-0.0998826728900068,0.018917258898958216,6.822243272282655,0.4418050192916127,4.097489145278985,-28.897864096192745,-28.897864096192745,True,False,0.0,False,5.656160196466214,False,False,0.0,2,1
95,-35.861623693587966,-34.83752620000251,-38.11848067043597,-0.023307641157954282,0.0608268686773814,8.42264797660429,0.48023822252721493,3.280954470433464,-26.854570595182743,-26.854570595182743,True,False,0.0,False,7.6994536974762156,False,False,0.0,2,2
96,-34.02080277134466,-33.480967674625695,-36.17866038919139,0.041822277797739275,0.1549424009643156,8.035883828067144,0.5240941516795075,2.6976927145656973,-25.060361785212013,-25.060361785212013,True,False,0.0,False,9.493662507446945,False,False,0.0,2,2
97,-32.31363419127166,-32.58696112097261,-34.25474426609404,0.14588246168923985,0.2754509428204599,9.690952551463155,0.5704926987603561,1.667783145121433,-22.75999786994342,-22.75999786994342,True,False,0.0,False,11.79402642271554,True,False,1.7940264227155396,2,2
98,-30.40205123462738,-30.554254325760148,-32.38124618246581,0.2608197907731925,0.3118416718156604,11.259149309442655,0.6045203148681964,1.8269918567056607,-20.566516612476427,-20.566516612476427,True,False,0.0,False,13.987507680182532,True,False,5.781534102898071,2,2
99,-28.758336233488304,-29.5704376676805,-30.574286353052624,0.5129914680600679,0.4600111814852387,11.021491400372856,0.6272176592060092,1.0038486853721231,-18.623643021734534,-18.623643021734534,True,False,0.0,False,15.930381270924425,True,False,11.711915373822496,2,2
100,-31.619252644996486,-31.83915776394487,-33.42898756059979,0.608581668986529,0.5025907700569165,14.975349788976985,0.5316817253419756,1.589829796654925,-20.32687100201958,-20.32687100201958,True,False,0.0,False,14.227153290639379,True,False,15.939068664461875,2,2
101,-45.50261350748417,-34.848117569051034,-71.54222079654465,0.5247744363525564,0.7200878722708912,18.631006306828287,0.3773370183676836,36.69410322749362,-37.271768223668154,-37.271768223668154,True,True,0.0,False,-2.7177439310091955,False,False,0.0,1,1
102,-49.11147845368379,-38.46482871628774,-75.06245873661648,0.6721837884250131,0.6819742188157625,5.768314313499021,0.3185296589530222,36.59763002032874,-39.28516632339881,-39.28516632339881,True,True,0.0,False,-4.7311420307398535,False,False,0.0,1,0
103,-55.86891220814803,-45.24541745998003,-77.45583756982097,1.0130605163743074,0.6599201339717777,24.68174272061656,0.3504042488183428,32.21042010984094,-42.331083415297584,-42.331083415297584,True,False,0.0,False,-7.777059122638626,False,False,0.0,1,1
104,-49.53415359877668,-38.88168263446504,-76.79124290653267,1.0553820484672511,0.33808961125186526,25.698317599268783,0.40280054692555156,37.90956027206764,-37.51127225491502,-37.51127225491502,True,False,0.0,False,-2.957247962256062,False,False,0.0,1,1
105,-48.68358573541901,-38.01930122679267,-76.57337086880781,0.9528348377555826,-0.1513591615783596,32.511895622303975,0.3718178375829065,38.55406964201514,-35.84777094360251,-35.84777094360251,True,False,0.0,False,-1.2937466509435538,False,False,0.0,1,1
106,-52.969951606184516,-42.31952192597835,-77.30850523827738,0.7996627546881656,-0.14905370890754002,39.85395239554306,0.2524297402944909,34.98898331229903,-36.91320061369771,-36.91320061369771,True,True,0.0,False,-2.3591763210387526,False,False,0.0,1,1
107,-54.42351361196192,-43.78262535576998,-77.31141442159391,0.8178632677604163,-0.4180496109184267,32.46962897987877,0.1986189812788855,33.52878906582393,-42.758727714067426,-42.758727714067426,True,True,0.0,False,-8.204703421408468,False,False,0.0,1,1
108,-57.61412152912604,-47.00110596991855,-77.37187934999403,0.6130749222353618,-0.5165654334517845,27.308863193244022,0.19990761764325932,30.370773380075484,-41.15567569270166,-41.15567569270166,True,True,0.0,False,-6.601651400042698,False,False,0.0,1,1
109,-52.662388199069454,-42.01123638020596,-76.90409302209467,0.6750094990846052,-0.4759597203274818,33.107246831582614,0.215917147340285,34.89285664188871,-39.616370640516934,-39.616370640516934,True,True,0.0,False,-5.062346347857975,False,False,0.0,1,1
